header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2314251.47 10317.000069651_46 length=151 number of reps 1562	ERR2314251.47	LR135593.1	100.0	1.7899999999999994e-71	Morganella morganii	582	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii
>ERR1842802.2203 10317.000050274_2202 length=150 number of reps 1529	ERR1842802.2203	MT445121.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.8189 10317.000050274_8188 length=150 number of reps 1527	ERR1842802.8189	CP040902.1	100.0	6.369999999999999e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR1842802.225 10317.000050274_224 length=150 number of reps 1480	ERR1842802.225	MT268987.1	100.0	6.369999999999999e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2033470.10702 10317.000068175_10701 length=150 number of reps 1464	ERR2033470.10702	LR654311.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.13921 10317.000107269_13920 length=151 number of reps 1450	ERR4019312.13921	CP047307.1	100.0	1.7899999999999994e-71	Citrobacter freundii	546	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
>ERR1842802.1401 10317.000050274_1400 length=150 number of reps 1442	ERR1842802.1401	CP051144.1	100.0	6.369999999999999e-71	Romboutsia sp. CE17	2724150	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
>ERR2696999.201 10317.000093103_200 length=151 number of reps 1438	ERR2696999.201	LR641029.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.21 10317.000093103_20 length=151 number of reps 1410	ERR2696999.21	LR640086.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.98 10317.000068175_97 length=150 number of reps 1367	ERR2033470.98	CP040518.1	100.0	6.369999999999999e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR1842802.725 10317.000050274_724 length=150 number of reps 1364	ERR1842802.725	LR640086.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.385 10317.000093103_384 length=151 number of reps 1352	ERR2696999.385	MN474722.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4018975.945 10317.000069197_944 length=151 number of reps 1341	ERR4018975.945	LR654311.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.73 10317.000068175_72 length=150 number of reps 1330	ERR2033470.73	MN474844.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1322 10317.000093103_1321 length=151 number of reps 1322	ERR2696999.1322	MF670802.1	100.0	1.7899999999999994e-71	uncultured Faecalibacterium sp.	259315	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured Faecalibacterium sp.
>ERR1842802.13950 10317.000050274_13949 length=150 number of reps 1321	ERR1842802.13950	AP019738.1	100.0	6.369999999999999e-71	Alistipes sp. 3BBH6	2585117	Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
>ERR2696999.21160 10317.000093103_21159 length=151 number of reps 1311	ERR2696999.21160	KF842651.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.25 10317.000093103_24 length=151 number of reps 1309	ERR2696999.25	MN081733.1	100.0	1.7899999999999994e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR2696999.359 10317.000093103_358 length=151 number of reps 1272	ERR2696999.359	MN474435.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.359 10317.000050274_358 length=150 number of reps 1262	ERR1842802.359	MT509819.1	100.0	6.369999999999999e-71	Dialister invisus	218538	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister invisus
>ERR2696999.18 10317.000093103_17 length=151 number of reps 1259	ERR2696999.18	MT445121.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.5624 10317.000107269_5623 length=151 number of reps 1248	ERR4019312.5624	MH761438.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.252 10317.000068175_251 length=150 number of reps 1246	ERR2033470.252	CP051672.1	100.0	6.369999999999999e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2033470.93 10317.000068175_92 length=150 number of reps 1238	ERR2033470.93	MN474578.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019279.16 10317.000105371_15 length=151 number of reps 1186	ERR4019279.16	MT256188.1	100.0	1.7899999999999994e-71	uncultured Pseudomonas sp.	114707	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;uncultured Pseudomonas sp.
>ERR2033470.6 10317.000068175_5 length=150 number of reps 1186	ERR2033470.6	HQ758633.1	100.0	6.369999999999999e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR4019312.10854 10317.000107269_10853 length=151 number of reps 1179	ERR4019312.10854	CP050009.1	100.0	1.7899999999999994e-71	Citrobacter sp. Y3	2716879	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2696999.6646 10317.000093103_6645 length=151 number of reps 1178	ERR2696999.6646	LC268639.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1858 10317.000093103_1857 length=151 number of reps 1161	ERR2696999.1858	MH291422.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.48 10317.000068175_47 length=150 number of reps 1160	ERR2033470.48	KU020661.1	100.0	6.369999999999999e-71	uncultured microorganism	358574	NaN;NaN;NaN;NaN;NaN;uncultured microorganism
>ERR2696999.62 10317.000093103_61 length=151 number of reps 1123	ERR2696999.62	LR640650.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.467 10317.000068175_466 length=150 number of reps 1113	ERR2033470.467	AP019004.1	100.0	6.369999999999999e-71	Phascolarctobacterium faecium	33025	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
>ERR1842802.89 10317.000050274_88 length=150 number of reps 1112	ERR1842802.89	MH291619.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4020553.7 10317.000101067_6 length=151 number of reps 1094	ERR4020553.7	CP028102.1	100.0	1.7899999999999994e-71	Fusobacterium mortiferum ATCC 9817	469616	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum
>ERR2033470.414 10317.000068175_413 length=150 number of reps 1078	ERR2033470.414	MT445141.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.255 10317.000093103_254 length=151 number of reps 1040	ERR2696999.255	KT925147.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.223 10317.000093103_222 length=151 number of reps 1036	ERR2696999.223	MH524464.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.5 10317.000038305_4 length=150 number of reps 1008	ERR1389836.5	LR650316.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.3765 10317.000093103_3764 length=151 number of reps 1003	ERR2696999.3765	KX970805.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.171 10317.000068175_170 length=150 number of reps 999	ERR2033470.171	MN474722.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.131 10317.000068175_130 length=150 number of reps 996	ERR2033470.131	LR215980.1	100.0	6.369999999999999e-71	Paraprevotella xylaniphila YIT 11841	762982	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila
>ERR2696475.11417 10317.000075933_11416 length=151 number of reps 943	ERR2696475.11417	MH761330.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033469.13104 10317.000068174_13103 length=150 number of reps 916	ERR2033469.13104	FJ370978.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.2333 10317.000050274_2332 length=150 number of reps 913	ERR1842802.2333	LR699017.1	100.0	6.369999999999999e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2523964.231 10317.000076672_230 length=151 number of reps 912	ERR2523964.231	MH761885.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.548 10317.000068175_547 length=150 number of reps 899	ERR2033470.548	MF670802.1	100.0	6.369999999999999e-71	uncultured Faecalibacterium sp.	259315	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured Faecalibacterium sp.
>ERR2523964.2067 10317.000076672_2066 length=151 number of reps 890	ERR2523964.2067	LR648866.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1417508.14 10317.000033063_13 length=150 number of reps 874	ERR1417508.14	KX974655.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.817 10317.000050274_816 length=150 number of reps 873	ERR1842802.817	LR797773.1	100.0	6.369999999999999e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR2696999.1018 10317.000093103_1017 length=151 number of reps 786	ERR2696999.1018	MK727100.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.10842 10317.000093103_10841 length=151 number of reps 783	ERR2696999.10842	EU182056.2	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.42 10317.000093103_41 length=151 number of reps 777	ERR2696999.42	AB969450.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.742 10317.000050274_741 length=150 number of reps 775	ERR1842802.742	MT464345.1	100.0	6.369999999999999e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR1597056.510 10317.000042630_509 length=150 number of reps 775	ERR1597056.510	MN215011.1	100.0	6.369999999999999e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2033470.503 10317.000068175_502 length=150 number of reps 768	ERR2033470.503	MK728230.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.666 10317.000093103_665 length=151 number of reps 756	ERR2696999.666	CP027002.1	100.0	1.7899999999999994e-71	[Ruminococcus] gnavus ATCC 29149	411470	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
>ERR2033470.1671 10317.000068175_1670 length=150 number of reps 753	ERR2033470.1671	MN212362.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.2504 10317.000050274_2503 length=150 number of reps 750	ERR1842802.2504	MK274923.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.2821 10317.000107269_2820 length=151 number of reps 737	ERR4019312.2821	LR134082.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR4019312.2509 10317.000107269_2508 length=151 number of reps 726	ERR4019312.2509	KT926592.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.343 10317.000093103_342 length=151 number of reps 718	ERR2696999.343	MN474887.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.9364 10317.000107269_9363 length=151 number of reps 709	ERR4019312.9364	LR782231.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1842587.37 10317.000054208_36 length=150 number of reps 705	ERR1842587.37	GU222204.1	100.0	6.369999999999999e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR1842587.104 10317.000054208_103 length=150 number of reps 698	ERR1842587.104	FJ390546.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2314217.11698 10317.000069002_11697 length=151 number of reps 694	ERR2314217.11698	LR654832.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.14639 10317.000107269_14638 length=151 number of reps 693	ERR4019312.14639	MH222252.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1041 10317.000093103_1040 length=151 number of reps 692	ERR2696999.1041	KP804558.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.405 10317.000076672_404 length=151 number of reps 692	ERR2523964.405	KY049721.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.35 10317.000093103_34 length=151 number of reps 690	ERR2696999.35	MN212437.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.253 10317.000093103_252 length=151 number of reps 682	ERR2696999.253	LR637623.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.889 10317.000068175_888 length=150 number of reps 670	ERR2033470.889	LC515556.1	100.0	6.369999999999999e-71	Collinsella aerofaciens	74426	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
>ERR2523964.2348 10317.000076672_2347 length=151 number of reps 667	ERR2523964.2348	HQ766939.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1842802.1661 10317.000050274_1660 length=150 number of reps 666	ERR1842802.1661	MT445110.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019312.3596 10317.000107269_3595 length=151 number of reps 657	ERR4019312.3596	MF365183.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.2951 10317.000093103_2950 length=151 number of reps 656	ERR2696999.2951	MT515977.1	100.0	6.429999999999998e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2033470.9074 10317.000068175_9073 length=150 number of reps 656	ERR2033470.9074	MN474461.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.172 10317.000093103_171 length=151 number of reps 654	ERR2696999.172	MG702771.1	100.0	1.7899999999999994e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR1389836.36 10317.000038305_35 length=150 number of reps 647	ERR1389836.36	MN212164.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.321 10317.000093103_320 length=151 number of reps 625	ERR2696999.321	MG857875.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1545 10317.000093103_1544 length=151 number of reps 625	ERR2696999.1545	LC528171.1	100.0	1.7899999999999994e-71	Akkermansia muciniphila	239935	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
>ERR4018975.73 10317.000069197_72 length=151 number of reps 615	ERR4018975.73	KT301601.1	100.0	1.7899999999999994e-71	uncultured Klebsiella sp.	284011	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;uncultured Klebsiella sp.
>ERR2696999.852 10317.000093103_851 length=151 number of reps 607	ERR2696999.852	LR027880.1	100.0	1.7899999999999994e-71	Roseburia intestinalis L1-82	536231	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis
>ERR1315996.16 10317.000033728_15 length=150 number of reps 592	ERR1315996.16	MF365666.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033470.1284 10317.000068175_1283 length=150 number of reps 583	ERR2033470.1284	MN326670.1	100.0	6.369999999999999e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
>ERR2033470.1179 10317.000068175_1178 length=150 number of reps 579	ERR2033470.1179	MH761885.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.12597 10317.000093103_12596 length=151 number of reps 567	ERR2696999.12597	HQ791674.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2696475.6 10317.000075933_5 length=151 number of reps 567	ERR2696475.6	MG858628.1	100.0	6.429999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
