header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2697882.21 10317.000097473_20 length=151 number of reps 1805	ERR2697882.21	MT225834.1	100.0	1.7799999999999998e-71	Pseudomonas psychrophila	122355	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas psychrophila
>ERR2523933.6870 10317.000075909_6869 length=151 number of reps 1783	ERR2523933.6870	MG559379.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.14147 10317.000093103_14146 length=151 number of reps 1775	ERR2696999.14147	MG702800.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2696999.239 10317.000093103_238 length=151 number of reps 1756	ERR2696999.239	MT268987.1	100.0	1.7799999999999998e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2696999.21 10317.000093103_20 length=151 number of reps 1734	ERR2696999.21	LR640086.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.2427 10317.000093103_2426 length=151 number of reps 1719	ERR2696999.2427	MH515849.1	100.0	1.7799999999999998e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2696999.27355 10317.000093103_27354 length=151 number of reps 1714	ERR2696999.27355	MT491072.1	100.0	1.7799999999999998e-71	Bifidobacterium pseudocatenulatum	28026	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
>ERR2696999.6 10317.000093103_5 length=151 number of reps 1650	ERR2696999.6	LR651246.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1127 10317.000093103_1126 length=151 number of reps 1650	ERR2696999.1127	MN474844.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2056801.12 10317.000037933_11 length=150 number of reps 1576	ERR2056801.12	KY278534.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.98 10317.000062086_97 length=150 number of reps 1544	ERR1842637.98	MT491082.1	100.0	6.3599999999999995e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR1842637.74 10317.000062086_73 length=150 number of reps 1537	ERR1842637.74	MT445090.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.101 10317.000062086_100 length=150 number of reps 1380	ERR1842637.101	LC515634.1	100.0	6.3599999999999995e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR2696999.5478 10317.000093103_5477 length=151 number of reps 1327	ERR2696999.5478	MT505661.1	100.0	1.7799999999999998e-71	Streptococcus salivarius	1304	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius
>ERR2696999.874 10317.000093103_873 length=151 number of reps 1313	ERR2696999.874	AP019004.1	100.0	1.7799999999999998e-71	Phascolarctobacterium faecium	33025	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
>ERR2314217.112 10317.000069002_111 length=151 number of reps 1293	ERR2314217.112	LR654311.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.77 10317.000093103_76 length=151 number of reps 1247	ERR2696999.77	MH572109.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2696999.3571 10317.000093103_3570 length=151 number of reps 1232	ERR2696999.3571	LR797773.1	100.0	1.7799999999999998e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR2697882.9 10317.000097473_8 length=151 number of reps 1155	ERR2697882.9	CP050009.1	100.0	1.7799999999999998e-71	Citrobacter sp. Y3	2716879	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR1842637.15 10317.000062086_14 length=150 number of reps 1125	ERR1842637.15	CP048437.1	100.0	6.3599999999999995e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR1842637.4 10317.000062086_3 length=150 number of reps 1097	ERR1842637.4	MT268988.1	100.0	6.3599999999999995e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR4020553.7 10317.000101067_6 length=151 number of reps 1094	ERR4020553.7	CP028102.1	100.0	1.7799999999999998e-71	Fusobacterium mortiferum ATCC 9817	469616	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum
>ERR1842637.906 10317.000062086_905 length=150 number of reps 1063	ERR1842637.906	CP038428.1	100.0	6.3599999999999995e-71	Escherichia coli O157:H7	83334	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2696999.127 10317.000093103_126 length=151 number of reps 1048	ERR2696999.127	MN326670.1	100.0	1.7799999999999998e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
>ERR1842637.133 10317.000062086_132 length=150 number of reps 1037	ERR1842637.133	MN081733.1	100.0	6.3599999999999995e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR2696999.3962 10317.000093103_3961 length=151 number of reps 1031	ERR2696999.3962	LR699017.1	100.0	6.4199999999999995e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2696999.255 10317.000093103_254 length=151 number of reps 1026	ERR2696999.255	KT925147.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1666 10317.000093103_1665 length=151 number of reps 1007	ERR2696999.1666	LR640822.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.31 10317.000093103_30 length=151 number of reps 967	ERR2696999.31	LR654483.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.90 10317.000093103_89 length=151 number of reps 961	ERR2696999.90	MN474117.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.269 10317.000062086_268 length=150 number of reps 929	ERR1842637.269	LR651246.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.447 10317.000062086_446 length=150 number of reps 924	ERR1842637.447	CP051144.1	100.0	6.3599999999999995e-71	Romboutsia sp. CE17	2724150	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2303862.8678 10317.000059959_8677 length=151 number of reps 923	ERR2303862.8678	MF895908.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2696999.3765 10317.000093103_3764 length=151 number of reps 915	ERR2696999.3765	KX970805.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1354 10317.000093103_1353 length=151 number of reps 878	ERR2696999.1354	MG702837.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2696999.201 10317.000093103_200 length=151 number of reps 877	ERR2696999.201	LR641029.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1858 10317.000093103_1857 length=151 number of reps 864	ERR2696999.1858	MN474811.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1973 10317.000093103_1972 length=151 number of reps 842	ERR2696999.1973	CP051672.1	100.0	1.7799999999999998e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2696999.1322 10317.000093103_1321 length=151 number of reps 822	ERR2696999.1322	MF670802.1	100.0	1.7799999999999998e-71	uncultured Faecalibacterium sp.	259315	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured Faecalibacterium sp.
>ERR2696999.508 10317.000093103_507 length=151 number of reps 815	ERR2696999.508	MH761663.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.66 10317.000093103_65 length=151 number of reps 793	ERR2696999.66	MT464345.1	100.0	1.7799999999999998e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR1842637.5397 10317.000062086_5396 length=150 number of reps 779	ERR1842637.5397	LR797773.1	100.0	6.3599999999999995e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR2696999.42 10317.000093103_41 length=151 number of reps 777	ERR2696999.42	AB969450.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2314217.15920 10317.000069002_15919 length=151 number of reps 775	ERR2314217.15920	LR639699.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697882.1808 10317.000097473_1807 length=151 number of reps 760	ERR2697882.1808	MT268985.1	100.0	1.7799999999999998e-71	Bacteroides fragilis	817	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR1842637.1206 10317.000062086_1205 length=150 number of reps 709	ERR1842637.1206	MN474844.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.59 10317.000062086_58 length=150 number of reps 706	ERR1842637.59	LR640650.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.118 10317.000062086_117 length=150 number of reps 670	ERR1842637.118	LR654642.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.92 10317.000093103_91 length=151 number of reps 629	ERR2696999.92	MH228452.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.565 10317.000062086_564 length=150 number of reps 568	ERR1842637.565	MT445141.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.62 10317.000093103_61 length=151 number of reps 564	ERR2696999.62	LR640650.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.69 10317.000093103_68 length=151 number of reps 553	ERR2696999.69	KR149337.1	100.0	1.7799999999999998e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2697882.38 10317.000097473_37 length=151 number of reps 541	ERR2697882.38	LC420063.1	100.0	1.7799999999999998e-71	Brevundimonas diminuta	293	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas diminuta
>ERR2697882.61 10317.000097473_60 length=151 number of reps 536	ERR2697882.61	LR638638.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2306142.144 10317.000068657_143 length=151 number of reps 524	ERR2306142.144	CP027002.1	99.338	8.299999999999999e-70	[Ruminococcus] gnavus ATCC 29149	411470	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
>ERR2306142.5 10317.000068657_4 length=151 number of reps 518	ERR2306142.5	LC515549.1	100.0	1.7799999999999998e-71	Paeniclostridium sordellii	1505	Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paeniclostridium;Paeniclostridium sordellii
>ERR2696999.343 10317.000093103_342 length=151 number of reps 488	ERR2696999.343	MN474887.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523933.13 10317.000075909_12 length=151 number of reps 486	ERR2523933.13	LT720479.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697882.58 10317.000097473_57 length=151 number of reps 467	ERR2697882.58	MT484231.1	100.0	1.7799999999999998e-71	Pseudomonas sp.	306	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp.
>ERR2696999.253 10317.000093103_252 length=151 number of reps 467	ERR2696999.253	LR637623.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319344.26991 10317.000054289_26990 length=151 number of reps 459	ERR2319344.26991	MH761885.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.296 10317.000062086_295 length=150 number of reps 456	ERR1842637.296	MN474435.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.23 10317.000093103_22 length=151 number of reps 447	ERR2696999.23	MT445110.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.875 10317.000093103_874 length=151 number of reps 444	ERR2696999.875	MT436614.1	100.0	1.7799999999999998e-71	Haemophilus parainfluenzae	729	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae
>ERR1842637.24 10317.000062086_23 length=150 number of reps 444	ERR1842637.24	MN215011.1	100.0	6.3599999999999995e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR1842637.2444 10317.000062086_2443 length=150 number of reps 442	ERR1842637.2444	LC515556.1	100.0	6.3599999999999995e-71	Collinsella aerofaciens	74426	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
>ERR2696999.19787 10317.000093103_19786 length=151 number of reps 440	ERR2696999.19787	MT491082.1	100.0	6.4199999999999995e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR2696999.526 10317.000093103_525 length=151 number of reps 439	ERR2696999.526	MK274843.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.35 10317.000093103_34 length=151 number of reps 426	ERR2696999.35	MN212437.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2056801.113 10317.000037933_112 length=150 number of reps 426	ERR2056801.113	CP029751.1	100.0	6.3599999999999995e-71	Staphylococcus aureus	1280	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus
>ERR2696999.25 10317.000093103_24 length=151 number of reps 403	ERR2696999.25	MN081733.1	100.0	1.7799999999999998e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR4020553.20 10317.000101067_19 length=151 number of reps 398	ERR4020553.20	MF364741.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2033544.31 10317.000069001_30 length=150 number of reps 392	ERR2033544.31	LR654311.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1245 10317.000093103_1244 length=151 number of reps 385	ERR2696999.1245	LC515556.1	100.0	1.7799999999999998e-71	Collinsella aerofaciens	74426	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
>ERR2303862.1 10317.000059959_0 length=151 number of reps 382	ERR2303862.1	JQ185275.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.530 10317.000062086_529 length=150 number of reps 382	ERR1842637.530	MT445109.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2314217.20215 10317.000069002_20214 length=151 number of reps 378	ERR2314217.20215	KY278534.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2056801.47 10317.000037933_46 length=150 number of reps 377	ERR2056801.47	MH977805.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.73 10317.000062086_72 length=150 number of reps 366	ERR1842637.73	LR699017.1	100.0	6.3599999999999995e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2696999.549 10317.000093103_548 length=151 number of reps 365	ERR2696999.549	FJ503780.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.89 10317.000093103_88 length=151 number of reps 350	ERR2696999.89	MK274923.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.103 10317.000093103_102 length=151 number of reps 349	ERR2696999.103	JQ940722.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697882.15 10317.000097473_14 length=151 number of reps 337	ERR2697882.15	MT269010.1	100.0	1.7799999999999998e-71	Delftia lacustris	558537	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia lacustris
>ERR1842637.4667 10317.000062086_4666 length=150 number of reps 328	ERR1842637.4667	CP040518.1	100.0	6.3599999999999995e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
