header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2523964.2921 10317.000076672_2920 length=151 number of reps 1839	ERR2523964.2921	MT445109.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.332 10317.000050274_331 length=150 number of reps 1828	ERR1842802.332	CP048437.1	100.0	6.369999999999999e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR4019071.81 10317.000074586_80 length=151 number of reps 1648	ERR4019071.81	MN215011.1	100.0	1.7899999999999994e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2523964.306 10317.000076672_305 length=151 number of reps 1629	ERR2523964.306	MT268988.1	100.0	1.7899999999999994e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR2523964.3410 10317.000076672_3409 length=151 number of reps 1620	ERR2523964.3410	MH570136.1	100.0	1.7899999999999994e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2523964.1711 10317.000076672_1710 length=151 number of reps 1577	ERR2523964.1711	MT268987.1	100.0	1.7899999999999994e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2523964.1671 10317.000076672_1670 length=151 number of reps 1553	ERR2523964.1671	MH761663.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1854752.28 10317.000065320_27 length=150 number of reps 1481	ERR1854752.28	MN212248.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.17 10317.000038305_16 length=150 number of reps 1453	ERR1389836.17	LC515634.1	100.0	6.369999999999999e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR1389836.35 10317.000038305_34 length=150 number of reps 1422	ERR1389836.35	MT445090.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.2203 10317.000050274_2202 length=150 number of reps 1326	ERR1842802.2203	MT445121.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.359 10317.000050274_358 length=150 number of reps 1259	ERR1842802.359	MT509819.1	100.0	6.369999999999999e-71	Dialister invisus	218538	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister invisus
>ERR2696591.372 10317.000092754_371 length=151 number of reps 1244	ERR2696591.372	MH761438.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696591.916 10317.000092754_915 length=151 number of reps 1230	ERR2696591.916	KF842651.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696475.5356 10317.000075933_5355 length=151 number of reps 1223	ERR2696475.5356	MN081733.1	100.0	1.7899999999999994e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR1389836.7724 10317.000038305_7723 length=150 number of reps 1182	ERR1389836.7724	MT491082.1	100.0	6.369999999999999e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR1854752.4 10317.000065320_3 length=150 number of reps 1097	ERR1854752.4	LR654311.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.3254 10317.000076672_3253 length=151 number of reps 1073	ERR2523964.3254	MT445141.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.123 10317.000076672_122 length=151 number of reps 1072	ERR2523964.123	MN474722.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.147 10317.000076672_146 length=151 number of reps 1051	ERR2523964.147	MH291619.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1024 10317.000076672_1023 length=151 number of reps 1048	ERR2523964.1024	CP051672.1	100.0	1.7899999999999994e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2696475.83 10317.000075933_82 length=151 number of reps 1003	ERR2696475.83	MK274923.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.3181 10317.000050274_3180 length=150 number of reps 1000	ERR1842802.3181	MT516160.1	100.0	6.369999999999999e-71	Enterococcus faecium	1352	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
>ERR1842802.7 10317.000050274_6 length=150 number of reps 995	ERR1842802.7	KF095514.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.5 10317.000038305_4 length=150 number of reps 974	ERR1389836.5	LR650316.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.683 10317.000076672_682 length=151 number of reps 936	ERR2523964.683	MT464345.1	100.0	1.7899999999999994e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR1854752.51 10317.000065320_50 length=150 number of reps 913	ERR1854752.51	FJ370978.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1023 10317.000076672_1022 length=151 number of reps 879	ERR2523964.1023	MH524464.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1417508.14 10317.000033063_13 length=150 number of reps 874	ERR1417508.14	KX974655.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.20 10317.000038305_19 length=150 number of reps 858	ERR1389836.20	MT268988.1	100.0	6.369999999999999e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR2523964.3859 10317.000076672_3858 length=151 number of reps 771	ERR2523964.3859	CP040902.1	100.0	1.7899999999999994e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR2523964.1028 10317.000076672_1027 length=151 number of reps 757	ERR2523964.1028	MN326670.1	100.0	1.7899999999999994e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
>ERR1842802.89 10317.000050274_88 length=150 number of reps 681	ERR1842802.89	MH291619.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696475.5874 10317.000075933_5873 length=151 number of reps 673	ERR2696475.5874	MK727100.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1422 10317.000076672_1421 length=151 number of reps 673	ERR2523964.1422	CP040518.1	100.0	1.7899999999999994e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR2319389.55 10317.000060228_54 length=151 number of reps 655	ERR2319389.55	JN612466.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.405 10317.000076672_404 length=151 number of reps 649	ERR2523964.405	KY049721.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.31 10317.000076672_30 length=151 number of reps 638	ERR2523964.31	MN474435.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019071.16 10317.000074586_15 length=151 number of reps 636	ERR4019071.16	KP804558.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.644 10317.000076672_643 length=151 number of reps 626	ERR2523964.644	LR641029.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696475.7243 10317.000075933_7242 length=151 number of reps 623	ERR2696475.7243	MG559379.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.8189 10317.000050274_8188 length=150 number of reps 609	ERR1842802.8189	CP040902.1	100.0	6.369999999999999e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR1389836.36 10317.000038305_35 length=150 number of reps 595	ERR1389836.36	MN212164.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019071.66 10317.000074586_65 length=151 number of reps 586	ERR4019071.66	CP027002.1	100.0	1.7899999999999994e-71	[Ruminococcus] gnavus ATCC 29149	411470	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
>ERR2696475.2785 10317.000075933_2784 length=151 number of reps 573	ERR2696475.2785	KY671809.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.2 10317.000076672_1 length=151 number of reps 567	ERR2523964.2	MT279971.1	100.0	1.7899999999999994e-71	Acinetobacter sp.	472	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp.
>ERR2523964.1509 10317.000076672_1508 length=151 number of reps 563	ERR2523964.1509	MG857875.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696475.6 10317.000075933_5 length=151 number of reps 561	ERR2696475.6	MG858628.1	100.0	6.429999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.8 10317.000076672_7 length=151 number of reps 558	ERR2523964.8	AP019004.1	100.0	1.7899999999999994e-71	Phascolarctobacterium faecium	33025	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
>ERR2523964.12 10317.000076672_11 length=151 number of reps 558	ERR2523964.12	MT491072.1	100.0	1.7899999999999994e-71	Bifidobacterium pseudocatenulatum	28026	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
>ERR1597057.9682 10317.000042631_9681 length=150 number of reps 542	ERR1597057.9682	MT516170.1	99.333	2.96e-69	Escherichia fergusonii	564	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
>ERR1842802.225 10317.000050274_224 length=150 number of reps 538	ERR1842802.225	MT268987.1	100.0	6.369999999999999e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2523964.35 10317.000076672_34 length=151 number of reps 520	ERR2523964.35	LR651246.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.44 10317.000050274_43 length=150 number of reps 506	ERR1842802.44	MT225834.1	100.0	6.369999999999999e-71	Pseudomonas psychrophila	122355	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas psychrophila
>ERR4019071.19 10317.000074586_18 length=151 number of reps 492	ERR4019071.19	MK274834.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.231 10317.000076672_230 length=151 number of reps 485	ERR2523964.231	MH761885.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.121 10317.000076672_120 length=151 number of reps 481	ERR2523964.121	MN212164.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1689 10317.000076672_1688 length=151 number of reps 473	ERR2523964.1689	LR640086.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.2348 10317.000076672_2347 length=151 number of reps 471	ERR2523964.2348	HQ766939.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2523964.16 10317.000076672_15 length=151 number of reps 460	ERR2523964.16	CP020545.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2696475.3765 10317.000075933_3764 length=151 number of reps 452	ERR2696475.3765	AP019738.1	100.0	1.7899999999999994e-71	Alistipes sp. 3BBH6	2585117	Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
>ERR2523964.50 10317.000076672_49 length=151 number of reps 449	ERR2523964.50	MF365015.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1852 10317.000076672_1851 length=151 number of reps 449	ERR2523964.1852	MG702837.1	100.0	1.7899999999999994e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2523964.679 10317.000076672_678 length=151 number of reps 446	ERR2523964.679	MG702771.1	100.0	1.7899999999999994e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR1842802.34 10317.000050274_33 length=150 number of reps 445	ERR1842802.34	LR651246.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.6217 10317.000076672_6216 length=151 number of reps 444	ERR2523964.6217	LR027880.1	100.0	1.7899999999999994e-71	Roseburia intestinalis L1-82	536231	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis
>ERR1389836.42 10317.000038305_41 length=150 number of reps 444	ERR1389836.42	MH222087.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.6 10317.000038305_5 length=150 number of reps 443	ERR1389836.6	CP051672.1	100.0	6.369999999999999e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2696443.62 10317.000058971_61 length=151 number of reps 441	ERR2696443.62	MN212527.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1854752.22273 10317.000065320_22272 length=150 number of reps 441	ERR1854752.22273	MN474966.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.429 10317.000050274_428 length=150 number of reps 437	ERR1842802.429	MT445109.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.1018 10317.000038305_1017 length=150 number of reps 432	ERR1389836.1018	LR640650.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1 10317.000076672_0 length=151 number of reps 421	ERR2523964.1	MT258384.1	100.0	1.7899999999999994e-71	Acinetobacter sp.	472	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp.
>ERR2523964.4907 10317.000076672_4906 length=151 number of reps 407	ERR2523964.4907	MT515977.1	100.0	6.429999999999998e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2523964.5737 10317.000076672_5736 length=151 number of reps 406	ERR2523964.5737	MT491082.1	100.0	1.7899999999999994e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR1842802.25 10317.000050274_24 length=150 number of reps 402	ERR1842802.25	CP020509.1	100.0	6.369999999999999e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2523964.961 10317.000076672_960 length=151 number of reps 397	ERR2523964.961	MN474887.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019071.30094 10317.000074586_30093 length=151 number of reps 386	ERR4019071.30094	MH292031.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.4302 10317.000038305_4301 length=150 number of reps 373	ERR1389836.4302	LR650618.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.110 10317.000038305_109 length=150 number of reps 370	ERR1389836.110	MN474722.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019071.20 10317.000074586_19 length=151 number of reps 368	ERR4019071.20	KX971678.1	99.338	8.309999999999998e-70	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1967 10317.000076672_1966 length=151 number of reps 368	ERR2523964.1967	LR135607.1	100.0	1.7899999999999994e-71	Klebsiella michiganensis	1134687	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella michiganensis
>ERR1389836.360 10317.000038305_359 length=150 number of reps 364	ERR1389836.360	AP019004.1	100.0	6.369999999999999e-71	Phascolarctobacterium faecium	33025	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
>ERR1842802.5 10317.000050274_4 length=150 number of reps 356	ERR1842802.5	MT421943.1	100.0	6.369999999999999e-71	Citrobacter freundii	546	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii
>ERR2523964.1140 10317.000076672_1139 length=151 number of reps 342	ERR2523964.1140	LR650316.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1417508.11 10317.000033063_10 length=150 number of reps 330	ERR1417508.11	MH288077.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1597057.32 10317.000042631_31 length=150 number of reps 329	ERR1597057.32	MN474461.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.13634 10317.000050274_13633 length=150 number of reps 324	ERR1842802.13634	MT464394.1	100.0	6.369999999999999e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR2579553.98 10317.000093400_97 length=151 number of reps 323	ERR2579553.98	KY278866.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842802.742 10317.000050274_741 length=150 number of reps 323	ERR1842802.742	MT464345.1	100.0	6.369999999999999e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR1389836.379 10317.000038305_378 length=150 number of reps 320	ERR1389836.379	MN211895.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.2847 10317.000076672_2846 length=151 number of reps 316	ERR2523964.2847	KY671594.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389836.11695 10317.000038305_11694 length=150 number of reps 309	ERR1389836.11695	CP040518.1	100.0	6.369999999999999e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR1389836.353 10317.000038305_352 length=150 number of reps 306	ERR1389836.353	MN326670.1	100.0	6.369999999999999e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
>ERR2523964.1494 10317.000076672_1493 length=151 number of reps 305	ERR2523964.1494	MG240816.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696475.722 10317.000075933_721 length=151 number of reps 303	ERR2696475.722	FJ503780.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.2067 10317.000076672_2066 length=151 number of reps 303	ERR2523964.2067	LR648866.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.1210 10317.000076672_1209 length=151 number of reps 300	ERR2523964.1210	MH569932.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.459 10317.000076672_458 length=151 number of reps 299	ERR2523964.459	LC528172.1	100.0	1.7899999999999994e-71	Anaerostipes hadrus	649756	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
>ERR1842802.78 10317.000050274_77 length=150 number of reps 297	ERR1842802.78	HQ758999.1	100.0	6.369999999999999e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1842802.703 10317.000050274_702 length=150 number of reps 296	ERR1842802.703	KF842651.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2523964.4310 10317.000076672_4309 length=151 number of reps 285	ERR2523964.4310	CP048437.1	100.0	6.429999999999998e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
