header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR4019336.41 10317.000107973_40 length=151 number of reps 4695	ERR4019336.41	CP048437.1	100.0	1.7799999999999998e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR4019336.152 10317.000107973_151 length=151 number of reps 4104	ERR4019336.152	CP051672.1	100.0	1.7799999999999998e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR2092007.3042 10317.000062984_3041 length=150 number of reps 3950	ERR2092007.3042	MT484223.1	100.0	6.3599999999999995e-71	Citrobacter sp.	1896336	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sp.
>ERR4019314.455 10317.000107280_454 length=151 number of reps 3899	ERR4019314.455	MT484223.1	100.0	1.7799999999999998e-71	Citrobacter sp.	1896336	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sp.
>ERR4019336.9539 10317.000107973_9538 length=151 number of reps 3805	ERR4019336.9539	KR149337.1	100.0	1.7799999999999998e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR4019336.25 10317.000107973_24 length=151 number of reps 3327	ERR4019336.25	LR699017.1	100.0	1.7799999999999998e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2032574.7 10317.000039622_6 length=150 number of reps 3273	ERR2032574.7	MN212518.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.153 10317.000039622_152 length=150 number of reps 3241	ERR2032574.153	MT445090.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2524101.43 10317.000087179_42 length=151 number of reps 3083	ERR2524101.43	EF699491.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR4019336.88 10317.000107973_87 length=151 number of reps 3047	ERR4019336.88	MT268987.1	100.0	1.7799999999999998e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR4019336.235 10317.000107973_234 length=151 number of reps 2652	ERR4019336.235	MG702837.1	100.0	1.7799999999999998e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2092007.10406 10317.000062984_10405 length=150 number of reps 2650	ERR2092007.10406	MT464345.1	100.0	6.3599999999999995e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR4019336.31 10317.000107973_30 length=151 number of reps 2561	ERR4019336.31	MG858628.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.138 10317.000062984_137 length=150 number of reps 2518	ERR2092007.138	MT445109.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.118 10317.000107973_117 length=151 number of reps 2485	ERR4019336.118	MT464394.1	100.0	1.7799999999999998e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR2092007.2266 10317.000062984_2265 length=150 number of reps 2476	ERR2092007.2266	MT491082.1	100.0	6.3599999999999995e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR2032574.219 10317.000039622_218 length=150 number of reps 2467	ERR2032574.219	LR654642.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1389911.27 10317.000040397_26 length=150 number of reps 2376	ERR1389911.27	LR650316.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.204 10317.000039622_203 length=150 number of reps 2333	ERR2032574.204	MH570136.1	100.0	6.3599999999999995e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2696999.11 10317.000093103_10 length=151 number of reps 2285	ERR2696999.11	KX971318.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.47 10317.000039622_46 length=150 number of reps 2160	ERR2032574.47	KT924959.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092251.33 10317.000067678_32 length=150 number of reps 2102	ERR2092251.33	MN474180.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.198 10317.000107973_197 length=151 number of reps 2070	ERR4019336.198	MT445109.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2057157.7482 10317.000069719_7481 length=150 number of reps 2040	ERR2057157.7482	MK577312.1	100.0	6.3599999999999995e-71	Akkermansia muciniphila	239935	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
>ERR4019336.1244 10317.000107973_1243 length=151 number of reps 2008	ERR4019336.1244	MG857875.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.13975 10317.000039622_13974 length=150 number of reps 1982	ERR2032574.13975	MN081733.1	100.0	6.3599999999999995e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR4019336.439 10317.000107973_438 length=151 number of reps 1973	ERR4019336.439	LR651246.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.8239 10317.000062984_8238 length=150 number of reps 1961	ERR2092007.8239	MF365015.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.1812 10317.000039622_1811 length=150 number of reps 1868	ERR2032574.1812	LC515634.1	100.0	6.3599999999999995e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR2032574.86 10317.000039622_85 length=150 number of reps 1843	ERR2032574.86	CP051672.1	100.0	6.3599999999999995e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
>ERR4019336.67 10317.000107973_66 length=151 number of reps 1815	ERR4019336.67	AP019738.1	100.0	1.7799999999999998e-71	Alistipes sp. 3BBH6	2585117	Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
>ERR4019336.97 10317.000107973_96 length=151 number of reps 1811	ERR4019336.97	MN474722.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2057157.130 10317.000069719_129 length=150 number of reps 1755	ERR2057157.130	LC487980.1	100.0	6.3599999999999995e-71	Dialister sp. 5BBH33	2582419	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister hominis
>ERR2032574.81 10317.000039622_80 length=150 number of reps 1663	ERR2032574.81	MH761044.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.202 10317.000107973_201 length=151 number of reps 1624	ERR4019336.202	MN474435.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.50 10317.000107973_49 length=151 number of reps 1540	ERR4019336.50	MH761663.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.386 10317.000107973_385 length=151 number of reps 1538	ERR4019336.386	MN326670.1	100.0	1.7799999999999998e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
>ERR2696999.267 10317.000093103_266 length=151 number of reps 1534	ERR2696999.267	CP036491.1	100.0	1.7799999999999998e-71	Bacteroides sp. A1C1	2528203	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. A1C1
>ERR2032574.148 10317.000039622_147 length=150 number of reps 1504	ERR2032574.148	MN474722.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.2 10317.000039622_1 length=150 number of reps 1471	ERR2032574.2	HQ791674.1	100.0	6.3599999999999995e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR4019336.2742 10317.000107973_2741 length=151 number of reps 1415	ERR4019336.2742	MN474180.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.18 10317.000039622_17 length=150 number of reps 1409	ERR2032574.18	MG859037.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.216 10317.000039622_215 length=150 number of reps 1377	ERR2032574.216	LR640650.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.11773 10317.000062984_11772 length=150 number of reps 1374	ERR2092007.11773	MG702771.1	100.0	6.3599999999999995e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2092225.4 10317.000067634_3 length=150 number of reps 1343	ERR2092225.4	MN212477.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019314.1 10317.000107280_0 length=151 number of reps 1309	ERR4019314.1	MT250924.1	99.338	8.299999999999999e-70	Pseudomonas fragi	296	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi
>ERR2092007.3831 10317.000062984_3830 length=150 number of reps 1264	ERR2092007.3831	MN474435.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.460 10317.000107973_459 length=151 number of reps 1253	ERR4019336.460	MH468371.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.401 10317.000107973_400 length=151 number of reps 1249	ERR4019336.401	LR640086.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696437.13 10317.000052139_12 length=151 number of reps 1243	ERR2696437.13	KY875919.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.3379 10317.000107973_3378 length=151 number of reps 1242	ERR4019336.3379				uncultured bacterium		
>ERR4019336.7762 10317.000107973_7761 length=151 number of reps 1236	ERR4019336.7762				uncultured bacterium		
>ERR2092007.5269 10317.000062984_5268 length=150 number of reps 1225	ERR2092007.5269				uncultured bacterium		
>ERR2092007.4683 10317.000062984_4682 length=150 number of reps 1213	ERR2092007.4683				uncultured bacterium		
>ERR2696999.7245 10317.000093103_7244 length=151 number of reps 1196	ERR2696999.7245				uncultured bacterium		
>ERR2696999.12597 10317.000093103_12596 length=151 number of reps 1196	ERR2696999.12597				uncultured bacterium		
>ERR2308949.15 10317.000084671_14 length=151 number of reps 1193	ERR2308949.15				uncultured bacterium		
>ERR2032574.117 10317.000039622_116 length=150 number of reps 1163	ERR2032574.117				uncultured bacterium		
>ERR2696999.12 10317.000093103_11 length=151 number of reps 1156	ERR2696999.12				uncultured bacterium		
>ERR2580096.3 10317.000074845_2 length=151 number of reps 1141	ERR2580096.3				uncultured bacterium		
>ERR4019336.52 10317.000107973_51 length=151 number of reps 1136	ERR4019336.52				uncultured bacterium		
>ERR4019336.30 10317.000107973_29 length=151 number of reps 1133	ERR4019336.30				uncultured bacterium		
>ERR4019336.261 10317.000107973_260 length=151 number of reps 1121	ERR4019336.261				uncultured bacterium		
>ERR2092007.4799 10317.000062984_4798 length=150 number of reps 1107	ERR2092007.4799				uncultured bacterium		
>ERR2696999.874 10317.000093103_873 length=151 number of reps 1105	ERR2696999.874				uncultured bacterium		
>ERR2032574.370 10317.000039622_369 length=150 number of reps 1093	ERR2032574.370				uncultured bacterium		
>ERR2092007.14569 10317.000062984_14568 length=150 number of reps 1074	ERR2092007.14569				uncultured bacterium		
>ERR4019336.160 10317.000107973_159 length=151 number of reps 1072	ERR4019336.160				uncultured bacterium		
>ERR4019336.3 10317.000107973_2 length=151 number of reps 1063	ERR4019336.3				uncultured bacterium		
>ERR2032574.12 10317.000039622_11 length=150 number of reps 1051	ERR2032574.12				uncultured bacterium		
>ERR4019336.1982 10317.000107973_1981 length=151 number of reps 1019	ERR4019336.1982				uncultured bacterium		
>ERR2696999.3571 10317.000093103_3570 length=151 number of reps 1011	ERR2696999.3571				uncultured bacterium		
>ERR2032574.25 10317.000039622_24 length=150 number of reps 1010	ERR2032574.25				uncultured bacterium		
>ERR4019336.34 10317.000107973_33 length=151 number of reps 1003	ERR4019336.34				uncultured bacterium		
>ERR2092007.26398 10317.000062984_26397 length=150 number of reps 999	ERR2092007.26398				uncultured bacterium		
>ERR4019336.49 10317.000107973_48 length=151 number of reps 998	ERR4019336.49				uncultured bacterium		
>ERR2696999.265 10317.000093103_264 length=151 number of reps 982	ERR2696999.265				uncultured bacterium		
>ERR2032517.824 10317.000031563_823 length=150 number of reps 975	ERR2032517.824				uncultured bacterium		
>ERR4019336.4 10317.000107973_3 length=151 number of reps 970	ERR4019336.4				uncultured bacterium		
>ERR4019336.674 10317.000107973_673 length=151 number of reps 967	ERR4019336.674				uncultured bacterium		
>ERR4019336.121 10317.000107973_120 length=151 number of reps 947	ERR4019336.121				uncultured bacterium		
>ERR2032574.10813 10317.000039622_10812 length=150 number of reps 937	ERR2032574.10813				uncultured bacterium		
>ERR2696999.89 10317.000093103_88 length=151 number of reps 930	ERR2696999.89				uncultured bacterium		
>ERR2696999.3175 10317.000093103_3174 length=151 number of reps 915	ERR2696999.3175				uncultured bacterium		
>ERR4019336.60 10317.000107973_59 length=151 number of reps 914	ERR4019336.60				uncultured bacterium		
>ERR4019336.490 10317.000107973_489 length=151 number of reps 913	ERR4019336.490				uncultured bacterium		
>ERR4019336.2044 10317.000107973_2043 length=151 number of reps 913	ERR4019336.2044				uncultured bacterium		
>ERR2696999.1933 10317.000093103_1932 length=151 number of reps 900	ERR2696999.1933				uncultured bacterium		
>ERR4019336.127 10317.000107973_126 length=151 number of reps 899	ERR4019336.127				uncultured bacterium		
>ERR2032574.246 10317.000039622_245 length=150 number of reps 895	ERR2032574.246				uncultured bacterium		
>ERR4019336.277 10317.000107973_276 length=151 number of reps 883	ERR4019336.277				uncultured bacterium		
>ERR2032567.21098 10317.000039595_21097 length=150 number of reps 882	ERR2032567.21098				uncultured bacterium		
>ERR2092007.21153 10317.000062984_21152 length=150 number of reps 873	ERR2092007.21153				uncultured bacterium		
>ERR4019336.2593 10317.000107973_2592 length=151 number of reps 872	ERR4019336.2593				uncultured bacterium		
>ERR2032574.114 10317.000039622_113 length=150 number of reps 864	ERR2032574.114				uncultured bacterium		
>ERR4019336.126 10317.000107973_125 length=151 number of reps 863	ERR4019336.126				uncultured bacterium		
>ERR4019336.131 10317.000107973_130 length=151 number of reps 862	ERR4019336.131				uncultured bacterium		
>ERR4019336.1229 10317.000107973_1228 length=151 number of reps 846	ERR4019336.1229				uncultured bacterium		
>ERR2313983.223 10317.000040070_222 length=151 number of reps 842	ERR2313983.223				uncultured bacterium		
>ERR4019336.515 10317.000107973_514 length=151 number of reps 829	ERR4019336.515				uncultured bacterium		
>ERR4019336.15567 10317.000107973_15566 length=150 number of reps 822	ERR4019336.15567				uncultured bacterium		
>ERR2032574.708 10317.000039622_707 length=150 number of reps 820	ERR2032574.708				uncultured bacterium		
>ERR4019314.1430 10317.000107280_1429 length=151 number of reps 818	ERR4019314.1430				uncultured bacterium		
>ERR2032574.1133 10317.000039622_1132 length=150 number of reps 811	ERR2032574.1133				uncultured bacterium		
>ERR4019336.26 10317.000107973_25 length=151 number of reps 808	ERR4019336.26				uncultured bacterium		
>ERR2032574.472 10317.000039622_471 length=150 number of reps 788	ERR2032574.472				uncultured bacterium		
>ERR2696999.42 10317.000093103_41 length=151 number of reps 777	ERR2696999.42				uncultured bacterium		
>ERR2308949.129 10317.000084671_128 length=151 number of reps 762	ERR2308949.129				uncultured bacterium		
>ERR2057157.813 10317.000069719_812 length=150 number of reps 754	ERR2057157.813				uncultured bacterium		
>ERR2696999.7333 10317.000093103_7332 length=151 number of reps 752	ERR2696999.7333				uncultured bacterium		
>ERR2092007.7534 10317.000062984_7533 length=150 number of reps 747	ERR2092007.7534				uncultured bacterium		
>ERR2092007.23371 10317.000062984_23370 length=150 number of reps 744	ERR2092007.23371				uncultured bacterium		
>ERR4019336.21 10317.000107973_20 length=151 number of reps 741	ERR4019336.21				uncultured bacterium		
>ERR2092007.2516 10317.000062984_2515 length=150 number of reps 735	ERR2092007.2516				uncultured bacterium		
>ERR2032574.85 10317.000039622_84 length=150 number of reps 735	ERR2032574.85				uncultured bacterium		
>ERR2092225.530 10317.000067634_529 length=150 number of reps 717	ERR2092225.530				uncultured bacterium		
>ERR2319486.81 10317.000068197_80 length=151 number of reps 710	ERR2319486.81				uncultured bacterium		
>ERR4019336.13156 10317.000107973_13155 length=151 number of reps 709	ERR4019336.13156	MN474811.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2308949.40 10317.000084671_39 length=151 number of reps 693	ERR2308949.40	MN537448.1	100.0	1.7799999999999998e-71	Megasphaera elsdenii	907	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii
>ERR2032574.40 10317.000039622_39 length=150 number of reps 692	ERR2032574.40	MH761873.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.21136 10317.000062984_21135 length=150 number of reps 686	ERR2092007.21136	CP040902.1	100.0	6.3599999999999995e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR2032574.3335 10317.000039622_3334 length=150 number of reps 682	ERR2032574.3335	LR640736.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032517.14102 10317.000031563_14101 length=150 number of reps 680	ERR2032517.14102	MT509631.1	100.0	6.3599999999999995e-71	Pseudomonas aeruginosa	287	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
>ERR4019336.189 10317.000107973_188 length=151 number of reps 677	ERR4019336.189	LR638605.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032517.12457 10317.000031563_12456 length=150 number of reps 666	ERR2032517.12457	MG702960.1	100.0	6.3599999999999995e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR4019336.400 10317.000107973_399 length=151 number of reps 664	ERR4019336.400	LR640650.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2404967.12408 10317.000072390_12407 length=151 number of reps 653	ERR2404967.12408	KU046099.1	100.0	1.7799999999999998e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2092007.17621 10317.000062984_17620 length=150 number of reps 647	ERR2092007.17621	MN212164.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2032574.82 10317.000039622_81 length=150 number of reps 645	ERR2032574.82	MT445110.1	100.0	6.3599999999999995e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.135 10317.000107973_134 length=151 number of reps 641	ERR4019336.135	MT445110.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.686 10317.000062984_685 length=150 number of reps 641	ERR2092007.686	MT505661.1	100.0	6.3599999999999995e-71	Streptococcus salivarius	1304	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius
>ERR2092007.7228 10317.000062984_7227 length=150 number of reps 640	ERR2092007.7228	LR797773.1	100.0	6.3599999999999995e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR4019336.74 10317.000107973_73 length=151 number of reps 630	ERR4019336.74	MK274833.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2524147.13 10317.000089999_12 length=151 number of reps 630	ERR2524147.13	KF864942.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2092007.307 10317.000062984_306 length=150 number of reps 630	ERR2092007.307	MT507237.1	99.333	2.96e-69	Escherichia fergusonii	564	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
>ERR4019336.860 10317.000107973_859 length=151 number of reps 625	ERR4019336.860	MH761873.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.532 10317.000107973_531 length=151 number of reps 625	ERR4019336.532	MH515864.1	100.0	1.7799999999999998e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR4019314.611 10317.000107280_610 length=151 number of reps 618	ERR4019314.611	MH222252.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
